,,珠光经营调度驾驶舱（暂定名）- 数据清单,,,,,,,,,,,,,
指标项,,序号,分工,建议对接部门（中心）,数据模块,数据内容（一级）,数据内容（二级）,数据内容（三级）,"数据来源：
各版块离职人员数量,1,148,,,,,各版块离职人员数量,/,Excel导入/手动录入,月,人力资源部,中,否,,
各上市企业离职人员数量,1,149,,,,,各上市企业离职人员数量,/,Excel导入/手动录入,月,人力资源部,中,否,,
党员占比,2,150,,,,人员结构,政治面貌,党员占比,Excel导入/手动录入,月,人力资源部,中,否,,
博士研究生汇总人数,2,151,,,,,学历,博士研究生汇总人数,Excel导入/手动录入,月,人力资源部,中,否,,
硕士研究生汇总人数,2,152,,,,,,硕士研究生汇总人数,Excel导入/手动录入,月,人力资源部,中,否,,
本科汇总人数,2,153,,,,,,本科汇总人数,Excel导入/手动录入,月,人力资源部,中,否,,
本科以下汇总人数,2,154,,,,,,本科以下汇总人数,Excel导入/手动录入,月,人力资源部,中,否,,
博士研究生占比,2,155,,,,,,博士研究生占比,Excel导入/手动录入,月,人力资源部,中,否,,
硕士研究生占比,2,156,,,,,,硕士研究生占比,Excel导入/手动录入,月,人力资源部,中,否,,
本科占比,2,157,,,,,,本科占比,Excel导入/手动录入,月,人力资源部,中,否,,
本科以下占比,2,158,,,,,,本科以下占比,Excel导入/手动录入,月,人力资源部,中,否,,
35以下年龄段的人数占比,2,159,,,,,年龄,35以下年龄段的人数占比,Excel导入/手动录入,月,人力资源部,中,否,,
36--45年龄段的人数占比,2,160,,,,,,36--45年龄段的人数占比,Excel导入/手动录入,月,人力资源部,中,否,,
46-50年龄段的人数占比,2,161,,,,,,46-50年龄段的人数占比,Excel导入/手动录入,月,人力资源部,中,否,,
51-55年龄段的人数占比,2,162,,,,,,51-55年龄段的人数占比,Excel导入/手动录入,月,人力资源部,中,否,,
56以上年龄段的人数占比,2,163,,,,,,56以上年龄段的人数占比,Excel导入/手动录入,月,人力资源部,中,否,,
本部班子成员人数,2,164,,,,,职级,本部班子成员人数,Excel导入/手动录入,月,人力资源部,中,否,,
本部中层正职人数,2,165,,,,,,本部中层正职人数,Excel导入/手动录入,月,人力资源部,中,否,,
本部中层副职人数,2,166,,,,,,本部中层副职人数,Excel导入/手动录入,月,人力资源部,中,否,,
各版块板主企业企业负责人人数,2,167,,,,,,各版块板主企业企业负责人人数,Excel导入/手动录入,月,人力资源部,中,否,,
各版块板主企业中层正职人数,2,168,,,,,,各版块板主企业中层正职人数,Excel导入/手动录入,月,人力资源部,中,否,,
各版块板主企业中层副职人数,2,169,,,,,,各版块板主企业中层副职人数,Excel导入/手动录入,月,人力资源部,中,否,,
产业人才结构,2,170,,,,"产业人才结构
（需经营部提供口径）",/,/,Excel导入/手动录入,季,人力资源部,高,否,,
集团汇总人力成本年度预算执行进度,1,171,,,,人力成本预算执行情况,集团汇总人力成本年度预算执行进度,/,Excel导入/手动录入,季,人力资源部,中,否,,
集团汇总工资总额年度预算执行进度,1,172,,,,,集团汇总工资总额年度预算执行进度,/,Excel导入/手动录入,季,人力资源部,中,否,,
各版块人力成本年度预算执行进度,1,173,,,,,各版块人力成本年度预算执行进度,/,Excel导入/手动录入,季,人力资源部,中,否,,
各版块工资总额度预算执行进度,1,174,,,,,各版块工资总额度预算执行进度,/,Excel导入/手动录入,季,人力资源部,中,否,,
各版块工资总额管控执行进度,1,175,,,,,各版块工资总额管控执行进度,/,Excel导入/手动录入,季,人力资源部,中,否,,
各版块年度人力成本管控执行进度,1,176,,,,,各版块年度人力成本管控执行进度,/,Excel导入/手动录入,季,人力资源部,中,否,,
各版块人均工资,1,177,,,,,各版块人均工资,/,Excel导入/手动录入,年,人力资源部,高,否,,
各版块人效比,1,178,,,,,各版块人效比,/,Excel导入/手动录入,年,人力资源部,高,否,,
党员占比,2,179,,,,干部管理,集团中层干部基本情况,党员占比,Excel导入/手动录入,季,人力资源部,高,否,综合看板-板块指标,
男性占比,1,180,,,,,,男性占比,Excel导入/手动录入,季,人力资源部,中,否,,
女性占比,1,181,,,,,,女性占比,Excel导入/手动录入,季,人力资源部,中,否,,
35以下年龄段的人数占比,2,182,,,,,,35以下年龄段的人数占比,Excel导入/手动录入,季,人力资源部,中,否,,
36--45年龄段的人数占比,2,183,,,,,,36--45年龄段的人数占比,Excel导入/手动录入,季,人力资源部,中,否,,
46-50年龄段的人数占比,2,184,,,,,,46-50年龄段的人数占比,Excel导入/手动录入,季,人力资源部,中,否,,
