,,,,,,,,,,,,,,
数据模块,二级分类名称及排序,"数据模块（新）
二级页面分类，名称取-后面值",数据内容（一级）,数据内容（二级）,数据内容（三级）,数据内容（四级）,"数据来源：
①系统对接
②Excel导入/手动录入","数据更新频率
（年/季度/月/周）","实现优先级
（高、中、低）",首页指标标识（经营指标占2/3）,建议实现图形,对比结果,备注,第二轮修改情况
,重点任务6,非经营数据-重点任务,年度重点任务完成情况,已办结数量,/,,系统对接,月,高,首页-核心指标6,,,,
,重点任务6,非经营数据-重点任务,,逾期数量,,,系统对接,月,高,,,,,
,重点任务6,非经营数据-重点任务,,即将逾期数量,,,系统对接,月,高,,,,,
,重点任务6,非经营数据-重点任务,,进行中数量,,,系统对接,月,高,,,,,
财务管理,财务1,经营数据-财务,核心财务总览,资产总额,/,,Excel导入/手动录入,月,高,,,,,
,财务1,经营数据-财务,,负债总额,/,,Excel导入/手动录入,月,高,,,,,
,财务1,经营数据-财务,,净资产,/,,Excel导入/手动录入,月,高,,,,,
,财务1,经营数据-财务,,总营业收入,/,,Excel导入/手动录入,月,高,,,,,
,财务1,经营数据-财务,,成本费用（不含财务费用）,/,,Excel导入/手动录入,月,高,,,,,
,财务1,经营数据-财务,,净利润,/,,Excel导入/手动录入,月,高,,,,,
,财务1,经营数据-财务,,经营性现金量净额,/,,Excel导入/手动录入,月,高,,,,,
,财务1,经营数据-财务,,从业人数,/,,Excel导入/手动录入,月,高,,,,,
,财务1,经营数据-财务,,职工薪酬总额,/,,Excel导入/手动录入,月,高,,,,,
,财务1,经营数据-财务,,带息负债总额,/,,Excel导入/手动录入,月,高,,,,,
,财务1,经营数据-财务,,财务费用,/,,Excel导入/手动录入,月,高,,,,,
,财务1,经营数据-财务,,一利五率,利润总额,,Excel导入/手动录入,月,高,,,,,
,财务1,经营数据-财务,,,资产负债率,,Excel导入/手动录入,月,高,,,,,
,财务1,经营数据-财务,,,营业现金比率,,Excel导入/手动录入,月,高,首页-核心指标1,,,,
,财务1,经营数据-财务,,,净资产收益率（年化）,,Excel导入/手动录入,月,高,首页-核心指标1,,,,
,财务1,经营数据-财务,,,研发（R&D）经费投入强度,,Excel导入/手动录入,月,高,,,,,
,财务1,经营数据-财务,,,年化全员劳动生产率,,Excel导入/手动录入,月,高,,,,,
,财务1,经营数据-财务,,社会效益类,已交税费总额,,Excel导入/手动录入,月,高,,,,,
,财务1,经营数据-财务,,,工业生产总值,,Excel导入/手动录入,月,高,,,,,
,财务1,经营数据-财务,,,固定资产投资额,,Excel导入/手动录入,月,高,,,,,
资金分析,资金3,经营数据-资金,融资管理,融资进度,年度融资计划总额,年度融资计划已完成额,Excel导入/手动录入,月,高,首页-核心指标3,,,,
,资金3,经营数据-资金,,,,年度融资计划剩余额度,Excel导入/手动录入,月,高,,,,,
,资金3,经营数据-资金,,,融资余额,银行贷款余额,Excel导入/手动录入,月,高,首页-核心指标3,以饼图形式展示,,,
,资金3,经营数据-资金,,,,债券余额,Excel导入/手动录入,月,高,,,,,
,资金3,经营数据-资金,,,,信托余额,Excel导入/手动录入,月,高,,,,,
,资金3,经营数据-资金,,,,融资租赁余额,Excel导入/手动录入,月,高,,,,,
,资金3,经营数据-资金,,,,其他融资余额,Excel导入/手动录入,月,高,,,,,
,资金3,经营数据-资金,,融资成本与结构管理,集团综合融资成本率,,Excel导入/手动录入,月,高,,,,,
